SRR16227561 Donor2_C58_S1_L001
SRR16227562 Donor2_C58_S1_L002
SRR16227563 Donor2_C58_S1_L003
SRR16227564 Donor2_C58_S1_L004
SRR16227565 Donor2_C58_S1_L005
SRR16227566 Donor2_C58_S1_L006
SRR16227567 Donor2_C58_S1_L007
SRR16227568 Donor2_C58_S2_L001
SRR16227569 Donor2_C58_S2_L002
SRR16227571 Donor3_C70_Caudate_S2_L001
SRR16227572 Donor3_C70_Caudate_S2_L002
SRR16227573 Donor3_C70_Caudate_S4_L001
SRR16227574 Donor3_C70_Caudate_S2_L002
SRR16227575 Donor3_C70_Caudate_S6_L001
SRR16227576 Donor3_C70_Caudate_S6_L002
SRR16227578 Donor4_C72_Caudate_S5_L001
SRR16227579 Donor4_C72_Caudate_S5_L002
SRR16227580 Donor4_C72_Caudate_S5_L003
SRR16227581 Donor4_C72_Caudate_S5_L004
SRR16227582 Donor4_C72_Caudate_S7_L001
SRR16227583 Donor4_C72_Caudate_S7_L002
